Time,Acceleration(g)
20.58,0.065362766
20.6,0.05649138
20.62,0.042113608
20.64,0.018762479
20.66,-0.00489456
20.68,-0.030896908
20.7,-0.054146067
20.72,-0.072194761
20.74,-0.09462816
20.76,-0.08800011
20.78,-0.064343066
20.8,-0.038340717
20.82,0.0088713895
20.84,0.031508729
20.86,0.060060329
20.88,0.062609579
20.9,0.039258449
20.92,0.035791467
20.94,0.031712669
20.96,0.02508462
20.98,0.0019374299
21,-0.020190059
21.02,-0.01611126
21.04,-0.0015295499
21.06,0.010095029
21.08,0.029163419
21.1,0.041603758
21.12,0.057409107
21.14,0.054146067
21.16,0.032018579
21.18,0.016825049
21.2,-0.00244728
21.22,-0.019272329
21.24,-0.028143719
21.26,-0.037830867
21.28,-0.045886498
21.3,-0.05445198
21.32,-0.049251508
21.34,-0.03864663
21.36,-0.030183119
21.38,-0.01998612
21.4,-0.018762479
21.42,-0.016213229
21.44,-0.012134429
21.46,-0.00540441
21.48,0.00020394
21.5,0.0060162299
21.52,-0.0023453099
21.54,-0.011420639
21.56,-0.020903849
21.58,-0.03283434
21.6,-0.039564358
21.62,-0.034771767
21.64,-0.02926539
21.66,-0.033446158
21.68,-0.041501789
21.7,-0.049659389
21.72,-0.057409107
21.74,-0.065668679
21.76,-0.056593348
21.78,-0.045478617
21.8,-0.00081575998
21.82,0.025798408
21.84,0.041909667
21.86,0.065668679
21.88,0.05904063
21.9,0.04833378
21.92,0.03915648
21.94,0.039258449
21.96,0.034669799
21.98,0.03640329
22,0.00081575998
22.02,-0.025900379
22.04,-0.046906198
22.06,-0.048027867
22.08,-0.02263734
22.1,-0.0066280498
22.12,0.016723079
22.14,0.036199349
22.16,0.05139288
22.18,0.037830867
22.2,0.028551599
22.22,0.01611126
22.24,0.0041807698
22.26,-0.00275319
22.28,0.0021413698
22.3,0.0044866799
22.32,0.010095029
22.34,0.01376595
22.36,0.0095851793
22.38,0.00591426
22.4,0.00224334
22.42,-0.0031610698
22.44,-0.0031610698
22.46,0.00040787999
22.48,-0.0025492499
22.5,-0.012644279
22.52,-0.023962949
22.54,-0.041399817
22.56,-0.054044098
22.58,-0.071480966
22.6,-0.032936308
22.62,-0.0053024396
22.64,0.0095851793
22.66,0.033446158
22.68,0.048741658
22.7,0.05190273
22.72,0.036505258
22.74,0.03487374
22.76,0.031202819
22.78,0.029061449
22.8,0.026818108
22.82,0.017130959
22.84,-0.00050984998
22.86,-0.02161764
22.88,-0.037219049
22.9,-0.031610699
22.92,-0.03028509
22.94,-0.028551599
22.96,-0.02416689
22.98,-0.027124019
23,-0.031406758
23.02,-0.037321017
23.04,-0.03640329
23.06,-0.031406758
23.08,-0.019680209
23.1,0.0019374299
23.12,0.01998612
23.14,0.016315199
23.16,0.013154129
23.18,0.0142758
23.2,0.0112167
23.22,0.01101276
23.24,0.0093812395
23.26,0.0090753293
23.28,0.0019374299
23.3,-0.01335807
23.32,-0.02518659
23.34,-0.044458917
23.36,-0.044051039
23.38,-0.030590999
23.4,-0.01957824
23.42,-0.00489456
23.44,0.0098910895
23.46,0.017130959
23.48,0.01509156
23.5,0.017640809
23.52,0.0079536599
23.54,-0.00591426
23.56,-0.021923549
23.58,-0.023860979
23.6,0.0061181998
23.62,0.02671614
23.64,0.027429929
23.66,0.0085654793
23.68,-0.0041807698
23.7,-0.02314719
23.72,-0.0077497196
23.74,0.0031610698
23.76,0.01855854
23.78,0.031610699
23.8,0.04884363
23.82,0.04680423
23.84,0.01692702
23.86,-0.00591426
23.88,-0.040380117
23.9,-0.04527468
23.92,-0.02457477
23.94,-0.01029897
23.96,0.02212749
23.98,0.026614169
24,0.01233837
24.02,0.00081575998
24.04,-0.017130959
24.06,-0.038952539
24.08,-0.057715016
24.1,-0.079638566
24.12,-0.063119429
24.14,-0.026104319
24.16,0.0044866799
24.18,0.046498317
24.2,0.07984251
24.22,0.112167
24.24,0.09717741
24.26,0.04986333
24.28,0.012440339
24.3,-0.039462389
24.32,-0.086266615
24.34,-0.1254231
24.36,-0.088102079
24.38,-0.062813516
24.4,-0.023249158
24.42,0.015295499
24.44,0.048639689
24.46,0.032936308
24.48,0.025288558
24.5,0.0096871497
24.52,0.02314719
24.54,0.034465858
24.56,0.051494848
24.58,0.060570179
24.6,0.05292243
24.62,0.056287439
24.64,0.060672148
24.66,0.062915489
24.68,0.060468207
24.7,0.047518017
24.72,0.01611126
24.74,-0.0078516895
24.76,-0.023453099
24.78,-0.030896908
24.8,-0.03354813
24.82,-0.03711708
24.84,-0.049965298
24.86,-0.067300198
24.88,-0.073724311
24.9,-0.079944479
24.92,-0.086266615
24.94,-0.057715016
24.96,-0.021311729
24.98,0.01305216
25,0.038850567
25.02,0.049761357
25.04,0.037015108
25.06,0.025492499
25.08,0.01611126
25.1,0.038442689
25.12,0.060570179
25.14,0.064241098
25.16,0.037728899
25.18,0.02212749
25.2,0.0040787999
25.22,0.0023453099
25.24,-0.0063221396
25.26,-0.029163419
25.28,-0.038748599
25.3,-0.046600289
25.32,-0.051494848
25.34,-0.079230684
25.36,-0.064037157
25.38,-0.019272329
25.4,0.019272329
25.42,0.05190273
25.44,0.075865679
25.46,0.076375529
25.48,0.057307139
25.5,0.046396348
25.52,0.053534248
25.54,0.064750948
25.56,0.074540066
25.58,0.086776465
25.6,0.094526184
25.62,0.099420747
25.64,0.094730128
25.66,0.083003579
25.68,0.026920079
25.7,-0.029469329
25.72,-0.091874965
25.74,-0.1386792
25.76,-0.087592229
25.78,-0.047721958
25.8,0.0082595701
25.82,0.060570179
25.84,0.08392131
25.86,0.056695316
25.88,0.030692969
25.9,-0.00112167
25.92,-0.038748599
25.94,-0.03538359
25.96,-0.0020393999
25.98,0.018354599
26,0.064547007
26.02,0.1029897
26.04,0.1142064
26.06,0.1131867
26.08,0.095851797
26.1,0.082085847
26.12,0.061997757
26.14,0.051800757
26.16,0.02100582
26.18,-0.02049597
26.2,-0.058326839
26.22,-0.1040094
26.24,-0.1356201
26.26,-0.1254231
