time (s),ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
28.560000000000002,0.0008036854592098978,2.7072878423605533e-05,0.000803891631811916,2.8060726816043e-05,-3.969336842703862e-08,-1.0023183118308425e-06,-2.5593956851366624e-09,2.1594667120955584e-07,0.0006511730977186159,3.1502197878063853e-08,0.00016214714428419708,-5.950586737693027e-06
28.57,0.0008039919777747191,3.440630482351483e-05,0.0008041723143712104,2.8083175388069884e-05,-3.8070205219996934e-08,1.5758001123350128e-06,-1.6325598889755971e-09,-7.038187054323811e-08,0.0007481378469395561,4.438006026077912e-06,0.0003138597910127272,-2.6933854770924608e-05
28.580000000000002,0.0008043693824962905,4.053709687778778e-05,0.0008044533912773272,2.813330591661974e-05,-1.098495694950581e-08,3.4142485976077434e-06,-2.4251372693492188e-09,4.5901461087111674e-08,0.0004308403998264376,5.0134939739987505e-06,6.575834701305627e-05,4.8572660032696164e-05
28.59,0.0008047886458703537,4.244872046076755e-05,0.0008047348846650537,2.8154906838919876e-05,1.53949864537824e-08,1.002868996626513e-06,4.3442692829435434e-10,4.593307089625902e-07,-9.555429072199972e-05,-1.0524398401656754e-06,-0.0004536205547434058,8.955028975797901e-06
28.6,0.0008051983121574271,3.8693868579264546e-05,0.0008050164408753518,2.8164031225783772e-05,1.759382407731329e-08,6.255876211656749e-07,3.93653959054246e-09,1.3194314819852503e-07,-0.0005961596096736022,3.5721048340930928e-06,0.0003022321191947508,-5.7307483927598906e-05
28.61,0.0008055508072059911,3.141291377102436e-05,0.0008052982821809932,2.8204652475684396e-05,3.601906907172413e-08,2.709317192247703e-06,3.0962063579507398e-09,-1.8539430553336653e-07,-0.0008219413411935383,3.8291499431936105e-06,8.764375140304925e-05,8.529619081371168e-06
28.62,0.0008058253367660388,2.3831869993118202e-05,0.0008055804823980739,2.8230871989617722e-05,6.322520459155652e-08,2.3210738225553917e-06,2.5135711438511157e-09,1.0726304497736228e-07,-0.0005984938176724353,1.0542566669796694e-06,-0.0001475041252261,2.560835564135548e-05
28.63,0.0008060416570410183,2.013799171625585e-05,0.0008058627509422435,2.8213535318972173e-05,7.289035743527349e-08,-8.19921757333447e-07,3.607467080171488e-09,-1.41969801128285e-08,-0.00019186853629374334,-4.419117793974525e-06,-0.0004171586080553291,-4.629043789801011e-05
28.64,0.0008062350399491278,1.86274482410119e-05,0.000806144669463818,2.8172681510397683e-05,5.259201115680075e-08,-2.463762091700072e-06,1.3197125045913433e-09,-3.7348883694464476e-07,-0.00012708338656652884,-2.9719995625066e-06,6.333649210366055e-05,-4.042608511520564e-06
28.650000000000002,0.00080641668782304,1.7928131290966212e-05,0.0008064262244966382,2.813570740818761e-05,2.76426946969507e-08,-2.7912998447299647e-06,-1.3296091872221948e-09,-7.473779339521039e-08,1.839417835070023e-05,-4.551905725402872e-06,-0.000106240518343792,4.452067751068054e-05
28.66,0.0008066035725377883,2.0226062734001905e-05,0.0008067074085283529,2.8107380242152642e-05,1.6598282393961518e-09,-1.8170717485972797e-06,-7.634937168001979e-10,7.486860693603343e-08,0.0004929009189058586,-7.36229484613049e-07,0.00025442642552414574,-2.2271435282378136e-05
28.67,0.0008068367617004903,2.671819749602662e-05,0.0008069884411289778,2.809783303288037e-05,-9.676060991690244e-09,-9.525676223640194e-07,-1.611777754686077e-09,-2.315376901977381e-07,0.0006676059514568178,-1.4075789197126598e-06,-5.249875300133988e-05,-1.347295411961602e-05
28.68,0.0008071328915523516,3.212792718969469e-05,0.0008072694026435845,2.810060371456182e-05,-1.583366710584754e-08,1.9915024012826657e-07,-3.222984745803442e-09,2.1070507311491707e-08,0.0004445953360746324,2.095427402343253e-06,0.0002479644720348173,5.2619024213489726e-05
28.69,0.0008074775463659589,3.7030405762735345e-05,0.0008075505942395134,2.8143910301728593e-05,2.4396753417673983e-10,3.0918574511537398e-06,-9.022912059693467e-10,3.5352387900568994e-07,0.0005847307978262828,6.153097288227882e-06,0.00029259674143117254,-2.905880828383085e-06
28.7,0.0008078756104992105,4.1925193233745176e-05,0.0008078322200271388,2.8167458984476175e-05,2.7803039229202887e-08,9.79680241344776e-07,1.4427252461028198e-09,6.386247886245936e-08,0.0001718155072883698,-2.08850244295955e-06,-0.0005805151966250255,-3.228929396431036e-05
28.71,0.0008082853771446713,3.864290852041556e-05,0.0008081138482964616,2.8165441274797704e-05,2.5218055028648834e-08,-2.0860723955830359e-07,1.5238502513503911e-09,4.603431918561225e-08,-0.000730902988870491,2.5105039793693606e-06,0.0002703879746891735,2.6733017305563933e-05
28.72,0.0008086304841938317,3.016885923048107e-05,0.0008083956109218478,2.8183907729682057e-05,3.089906387294779e-08,8.037446954132934e-07,3.2560176587337478e-09,2.4411174156246524e-07,-0.000861593663803284,6.212640042968509e-07,-6.619581810446418e-05,-6.870822265581477e-06
28.73,0.0008088931310445032,2.2893845002342182e-05,0.000808677493971799,2.8194601183201438e-05,3.947213382255178e-08,1.1993140752737674e-06,4.2036806155321175e-09,-1.3420545177148555e-07,-0.0005508903353927674,2.065800748921043e-06,0.00010448833918355604,-5.020879159610243e-05
28.740000000000002,0.0008090995281754815,1.8734187310747574e-05,0.0008089594542393768,2.8190327190534367e-05,4.863613045465341e-08,1.4691148964899451e-08,1.32344049672857e-09,-3.270056617420641e-07,-0.00032390495603118463,-2.7792408309329497e-06,-0.0002951229171672676,1.9751287761527857e-05
28.75,0.0008092739093032926,1.6579821610836577e-05,0.0008092411766533299,2.8150989182602484e-05,3.5851844701212704e-08,-2.3587928236637254e-06,-2.7887691158157575e-10,2.4109087344398586e-08,-5.201617090480615e-05,-4.597322503407941e-06,-0.00015880812519067367,2.604445313578673e-05
28.76,0.0008094457544426222,1.8648008321287573e-05,0.0008095225010071008,2.81190958222517e-05,1.1411225768103452e-08,-1.945276439587413e-06,2.5863462370029495e-11,-7.28943741534892e-08,0.0004728289488180881,-1.3972176562959682e-06,0.00020448407612652653,-3.790173499023775e-05
28.77,0.0008096616194159593,2.4860169436033142e-05,0.0008098036558389037,2.811436606793208e-05,7.316906144919782e-10,-3.2831468288789297e-07,-2.1905889029756475e-09,-2.8779323136278144e-07,0.0006901772273868456,2.1485442090740658e-07,0.00012094761378372842,1.2633228870231143e-05
28.78,0.0008099431968526719,3.121475290135232e-05,0.000810084789446066,2.8109606427863893e-05,-1.8128507683086064e-09,-6.13212615538704e-07,-3.2878608689286065e-09,1.4701197814161305e-07,0.0005484616239609941,-1.2469847863461059e-06,-0.000135714197600445,5.2263566971177646e-05
28.79,0.000810278612852795,3.537734337055633e-05,0.0008103657865819879,2.8087339826947873e-05,-1.5651476608916215e-08,-2.172309662768512e-06,-3.568594311039185e-10,2.9979994278885065e-07,0.00024114642293773803,-2.821111174680646e-06,-0.0001419820213119649,-2.9700183838714254e-05
28.8,0.0008106357432961194,3.530607250238116e-05,0.0008106465966567358,2.808214589090076e-05,-3.44360460180636e-08,-8.622992839641024e-07,6.151289348154154e-10,-1.0220111109630379e-07,-0.00024728904961379694,2.048188604109047e-06,0.00033943729142360546,-2.7667779966528268e-05
28.810000000000002,0.000810970931907548,3.1353276557889284e-05,0.0008109275605102932,2.811325956246738e-05,-2.801316125190556e-08,1.8787601896872495e-06,-4.819713758272002e-10,1.5289838196638746e-09,-0.0004585327468330236,3.559750251416749e-06,0.00017382528928663876,3.871980665104985e-05
28.82,0.0008112652079417076,2.7996021896432056e-05,0.000811208855945334,2.8143659982320583e-05,-4.577931661573411e-09,2.4150566956058383e-06,1.0545068250790559e-09,2.275005064738993e-07,-0.00015168288196487634,2.2056014434418403e-06,-5.9891503504327925e-05,-1.2097900750648138e-05
28.830000000000002,0.0008115436899603135,2.813404313849638e-05,0.000811490407297443,2.816744316447724e-05,1.8335745303670875e-08,2.301774602169508e-06,1.7431508391504116e-09,-1.2932833826289702e-07,0.00013320386602233558,2.692507045126691e-06,3.0371080665114736e-05,-3.8128095785665774e-05
28.84,0.000811830815438327,2.9008817455873402e-05,0.0008117721507636674,2.8174197652167286e-05,3.55841347518594e-08,5.935075134524044e-07,-2.4565000237722276e-10,-1.376112008259136e-07,-3.0504309475487545e-05,-1.4614363969406297e-06,-0.0003125631411537433,3.773045763916385e-05
28.85,0.0008121163047138282,2.7998217041079162e-05,0.0008120538286937996,2.8164019962023794e-05,3.305639908599006e-08,-4.5075256000755056e-07,4.728195033802514e-10,2.400473421612281e-07,-7.553448990552103e-05,5.654794375808958e-08,7.909162445288165e-05,1.2255574186956625e-05
28.86,0.0008123954971869837,2.797514961062038e-05,0.0008123354396662571,2.8154869713763933e-05,2.7897341810694633e-08,-9.218744026798986e-07,2.0861463737544186e-09,-1.2704232745360936e-08,5.391842105878508e-06,-2.057212247955076e-06,-0.00014480255108847984,-4.774818419185291e-05
28.87,0.0008126710955572149,2.6659524491546667e-05,0.0008126168867552234,2.8135086594941752e-05,1.431213381606051e-08,-1.546284719219833e-06,2.968070198025219e-10,-2.390245831530056e-07,-0.00028464885481335744,-1.7015795679420354e-06,1.2416635384454588e-05,1.5830892609834776e-05
28.88,0.0008129216429353786,2.3474027380914792e-05,0.0008128981652982423,2.8121803566298717e-05,8.674099558930754e-10,-1.0475948696953633e-06,-5.026472322580476e-10,1.094016980594849e-07,-0.0002521763663842769,-9.957838186108736e-07,6.736734545900736e-05,2.9614505115307377e-05
28.89,0.0008131505562068991,2.300489231098454e-05,0.0008131793405438677,2.8113850842412683e-05,-6.5801489767452435e-09,-4.899381344725821e-07,8.024433789405358e-10,2.6912144222446763e-08,0.00016359544884916866,-6.477194056525581e-07,3.69798117861031e-05,-4.353143529143101e-05
28.900000000000002,0.0008133919897432819,2.5408941947314874e-05,0.000813460450158996,2.8108397011646122e-05,-1.0214738076781158e-08,-2.853275382960465e-07,-9.491316193286306e-10,-3.0092264973060154e-07,0.00023530586743769621,-4.34665121271105e-07,8.922628888519135e-06,2.529070292548877e-06
28.91,0.0008136570031432074,2.7668959429571553e-05,0.0008137415561063941,2.811755924763583e-05,-8.650151225319496e-09,9.138015698952162e-07,-2.494029051863054e-09,7.837204167823352e-08,0.00029169710399126747,2.3737332229128993e-06,0.00019712801157770188,5.077240039498588e-05
28.92,0.0008139531172212045,3.1908861143586534e-05,0.0008140228159762123,2.8130210938526944e-05,2.815441151531255e-09,7.756645407950018e-07,-2.5422018082073807e-10,2.4052262772395264e-07,0.0004960853255897846,-5.6847208773636027e-08,-0.00018005073102464464,-2.4893657548477243e-05
28.93,0.0008142940001905413,3.579450250450649e-05,0.0008143041431517224,2.813957695957231e-05,7.646922932232467e-09,7.374249285884238e-07,3.7369572804919525e-10,-1.0663802043731308e-07,0.0002160870801064252,2.428433183654377e-06,0.00014823518297821248,-1.842341994236448e-05
28.94,0.0008146543482661113,3.5546895531313054e-05,0.0008145856326322576,2.8155040914391172e-05,1.677270876202073e-08,6.711441110232943e-07,-2.69558971076343e-10,7.26163416631573e-08,-0.00026341254635006695,3.2255180307250164e-07,-0.0001335790707176765,4.299252510866674e-05
28.95,0.0008149918082537025,3.1653420946159464e-05,0.000814867188668912,2.8155470196798483e-05,1.86421778567766e-08,-1.2603252249938878e-07,2.0743127443478464e-09,2.931664352617235e-07,-0.00043900752238523744,-1.0770780586866202e-07,-3.237026373609231e-05,-1.6786614706914437e-05
28.96,0.0008152865253391294,2.7287614818665158e-05,0.0008151487361275556,2.8153857533861025e-05,1.671103259784806e-08,-1.9685570458893585e-07,3.0739348100068334e-09,-1.5265229650849857e-07,-0.00045742283779079407,-2.3407435451039404e-07,6.014555377825692e-06,-4.621231769203732e-05
28.97,0.0008155350808781675,2.2314697638070804e-05,0.0008154302562998157,2.814928698405011e-05,1.4865331461017556e-08,-2.0939033792828906e-07,4.677428073010425e-10,-2.2368036175265615e-07,-0.0005015879331545514,-7.849279544253074e-07,-1.6287711181034448e-05,3.397959978331456e-05
28.98,0.0008157380460463489,1.892837515470806e-05,0.0008157116945036317,2.8136763858650197e-05,1.1260660764244126e-08,-5.793972516813724e-07,9.451390311919146e-11,1.1887564898905096e-07,-9.15465722179376e-05,-1.7306403651690117e-06,-5.5430113675369874e-05,8.992519821359976e-06
28.990000000000002,0.000815931936294174,2.067849549929981e-05,0.0008159929652286021,2.8116598228029956e-05,2.584333288239859e-09,-1.1466501679597552e-06,4.632947733776222e-10,-1.490568873299276e-07,0.00037974362141618423,-2.148365859322432e-06,-4.65937407930217e-05,-4.623519415682149e-05
29.0,0.0008161585409506203,2.4599358873762524e-05,0.0008162740298711696,2.8097215735041477e-05,-1.0274518812953832e-08,-1.322079283120212e-06,-2.355467384453083e-09,-2.8879936684478113e-07,0.0003413237480077991,-1.5843655073594087e-06,1.612773949741242e-05,3.1545766884192295e-05
29.01,0.0008164203682801969,2.7752095089683687e-05,0.0008165549402209821,2.8086695419854665e-05,-2.1673270956668506e-08,-8.675250042773352e-07,-2.872706101525911e-09,2.0920422633026026e-07,0.00034247322495539745,-4.677041169909302e-07,6.889780266805534e-05,4.022916338802094e-05
29.02,0.0008167179708821414,3.199746848015908e-05,0.0008168358051503539,2.8088437264554896e-05,-2.653393404809237e-08,-7.725184276989947e-08,-3.1861426214326447e-10,1.565789690956077e-07,0.0004715053288184001,8.132866607390987e-07,8.396231806290233e-05,-4.5609900678381476e-05
29.03,0.0008170577261852018,3.541690687949406e-05,0.0008171167503870408,2.810244688263161e-05,-2.3179553395798812e-08,7.36286857776471e-07,-8.149280522123839e-10,-1.847974818317731e-07,0.0001335491028696678,1.8813635612180413e-06,7.323669024489332e-05,1.8858683925487365e-06
29.04,0.0008174118537607133,3.494169720705141e-05,0.0008173979181974385,2.8135888265163027e-05,-8.67180643847477e-09,2.412943084928815e-06,-1.193991989846497e-09,2.0088684639745418e-07,-0.00012134562295398887,4.766066468611663e-06,0.0002208727065767524,5.024987919410916e-05
29.05,0.000817758604509237,3.477226471712834e-05,0.0008176795069768397,2.8180366387310442e-05,2.1858856233495105e-08,3.2815953978640018e-06,2.0286912970258423e-09,2.9774700513052457e-07,9.184171165291244e-05,3.7909753487358477e-06,-3.561116976777412e-05,-3.713200846142795e-05
29.060000000000002,0.0008181090825587308,3.4849650251721586e-05,0.0008179614247713677,2.819610179836344e-05,4.6090367295074554e-08,1.110821247886086e-06,2.650974565960747e-09,-1.533853546726395e-07,-0.00020498869578611245,-6.919155352419493e-07,-0.00033658821176785203,-2.586273959294272e-05
29.07,0.0008184364043728001,2.9601164885826462e-05,0.0008182433189035771,2.818043385079022e-05,4.392003473394513e-08,-1.1786586819043087e-06,1.3064519660528166e-09,1.5505024586718838e-08,-0.0007784111268511196,-2.0890808239693026e-06,-0.0001168470523424392,4.523322026200339e-05
29.080000000000002,0.0008186930876390943,2.194293947029695e-05,0.0008185250188443584,2.8159412214682685e-05,2.9015320100316856e-08,-1.5818312193866268e-06,2.9607126920458807e-09,1.9697326599545952e-07,-0.0006322611877382922,-2.1458640006299934e-06,1.5541435019583716e-05,-2.8196245410502737e-05
29.09,0.0008188870753839142,1.7356304933808562e-05,0.0008188064694473617,2.812652483237836e-05,1.0444907609060118e-08,-2.4298710453703386e-06,2.4308956875391583e-09,-3.484373570752227e-07,-0.00035352309606156984,-4.615484301931372e-06,-0.00016467441328971155,-4.974086437145071e-05
29.1,0.0008190453444448943,1.4771641334745278e-05,0.000819087582533502,2.8105075656993836e-05,-1.0710615911118789e-08,-9.291057075820855e-07,-1.8434267570742574e-09,-3.3856757675422994e-07,-5.6489300842538226e-05,6.084043829290842e-07,0.0003818924915199029,4.8228359228462555e-05
29.11,0.0008192035509180397,1.806744937927566e-05,0.0008193686431500796,2.8103367854807096e-05,-1.0876348267264156e-08,1.17254535076501e-07,-2.694831095841413e-09,1.1879405439755323e-07,0.0007128690636769297,-1.5375490422520066e-06,-0.0001306974725225063,1.912509389609197e-05
29.12,0.0008194283922568499,2.7387587993360562e-05,0.0008196495860462724,2.8084911477352674e-05,-1.6032938002252726e-08,-1.05903530748663e-06,-1.934389731422879e-09,-5.765818553190652e-08,0.0010157512358193732,-1.7229905414223312e-06,-7.815881944900349e-05,-3.560704933450695e-05
29.13,0.0008197480725303067,3.5908998835803736e-05,0.0008199304114669796,2.8087360721383106e-05,-2.38896373047548e-08,6.027559971257243e-08,-3.3864222581194943e-09,-1.0944277391124991e-07,0.000637585678182867,2.5858678439766303e-06,0.00026854755822638965,3.677216777219419e-05
29.14,0.0008201320029497601,4.02648237345545e-05,0.0008202114115146825,2.8111299613132653e-05,-1.583422409821241e-08,1.0666321889141683e-06,-2.0181809138089883e-09,3.802308440154985e-07,0.00024631712504699643,1.7904707860644242e-06,-4.184548398125654e-05,3.504939294350969e-05
29.150000000000002,0.0008205406616253947,4.095777127580319e-05,0.0008204926208800531,2.8131292374432813e-05,-5.925815607403638e-09,1.014756331856077e-06,1.9147918644513238e-09,2.874637962962193e-07,-0.0001209070461242745,2.305344773842477e-06,2.5393678424301402e-05,-4.793365848218977e-05
29.16,0.0008209372916525697,3.785186507549089e-05,0.0008207741395975032,2.818083999904022e-05,1.4314370348665261e-08,3.6169736998249714e-06,2.467096747275588e-09,-1.1659881357173171e-07,-0.0004516341752764108,7.627645102356584e-06,0.00041154229133269493,-1.1682151407750975e-05
29.17,0.000821291530920105,3.293852783008212e-05,0.0008210562726605083,2.823865668393732e-05,5.834329171514991e-08,4.214205707808603e-06,2.029675060654432e-09,1.0335301095552215e-07,-0.000506526537692259,3.12927779694272e-06,-0.00024143303055076948,3.879578682450262e-05
29.18,0.0008215951884425742,2.7666593958043687e-05,0.0008213386584592769,2.822467969106138e-05,7.816779298554052e-08,-8.910916855266572e-07,4.1082795284382635e-09,2.0775165628778555e-07,-0.000595565025111322,-5.901789485063258e-06,-0.0006723856766673308,-2.769877766768664e-05
29.19,0.0008218385583071932,2.0836901478338523e-05,0.0008216206533462386,2.818066053005323e-05,5.306073984909663e-08,-2.755395333362105e-06,4.0123708434414195e-09,-2.4780654786382894e-07,-0.0007075662425922724,-1.9936151642307998e-06,0.0002253261142335372,-4.180819865456082e-05
29.2,0.0008220135165837774,1.4334455034573103e-05,0.0008219023034278948,2.814281895117025e-05,2.75425133022645e-08,-3.0608123497940284e-06,7.003763977349153e-10,-3.02220055557946e-07,-0.000586250863411325,-6.107032185259653e-06,-0.00024642118456943973,2.868153219510001e-05
29.21,0.0008221340093037824,1.0690208340358756e-05,0.0008221834580162582,2.8092520928535627e-05,-6.9327066442387415e-09,-3.1476571127414395e-06,-7.789594143463492e-10,-3.371744743457645e-08,-1.9446718404120267e-05,-3.4973203698052124e-06,0.00017868513430693844,4.8478232360645596e-06
29.22,0.0008222544964484223,1.4765741860024243e-05,0.0008224642364288964,2.806559614965423e-05,-3.049696952499566e-08,-1.6734135220679126e-06,-1.87426301369718e-09,-2.540041075805215e-07,0.0007747864764827139,-2.0390933860719995e-06,0.00010700615993164408,-3.183452539014135e-05
29.23,0.0008224466815122147,2.405707842751728e-05,0.0008227448103612413,2.8051234501527845e-05,-4.288058338717891e-08,-8.817383331624951e-07,-5.013196646615217e-09,-2.526564226911605e-07,0.0009893290037190083,-8.028954874561567e-07,6.280371434969068e-05,4.100671405267805e-05
29.240000000000002,0.0008227360768949346,3.372670130165283e-05,0.0008230253074611664,2.805081716600247e-05,-4.843134307286518e-08,-2.0042141661657417e-07,-4.9256372963805355e-09,2.856000887412436e-07,0.0009359763414112376,7.94599262332607e-07,8.125874483849715e-05,4.085895464294378e-05
29.25,0.0008231176359258551,4.222434729783435e-05,0.0008233058880129134,2.806860573524476e-05,-4.5756563888728224e-08,7.987014789027586e-07,-1.4485703157414729e-09,2.7344249253649413e-07,0.000696183070302947,2.813871810752877e-06,0.00011626847109513783,-3.832081830607953e-05
29.26,0.0008235646797528422,4.608743696911015e-05,0.0008235867846067421,2.811764621501345e-05,-2.76797332265485e-08,3.1205898828123293e-06,-4.345043967795503e-10,2.0673061926232165e-09,4.500889068556613e-05,6.895222472158569e-06,0.00030390722931603054,5.305615156159451e-06
29.27,0.000824015922476804,4.3080136845856926e-05,0.000823868230463861,2.816252062689479e-05,5.67686101758252e-09,2.5223365231524617e-06,9.243353840787084e-10,3.211239964299902e-07,-0.0006426296860731207,1.3070204186726997e-06,-0.00035452952690692707,3.665524351041118e-05
29.28,0.0008244068517945798,3.460297226205998e-05,0.0008241499195418235,2.8176307939031526e-05,2.0531498849877053e-08,1.0809122926953992e-06,4.680601234549366e-09,2.858828555650781e-07,-0.0009508407372318395,1.8789016765496935e-06,3.093552655336618e-05,-4.8757843700433784e-05
29.29,0.0008247059791347104,2.5363134317523688e-05,0.0008244318008965172,2.8202201556763577e-05,3.581777411730614e-08,2.177703907575049e-06,4.633090176515724e-09,-2.8707753653410526e-07,-0.0008570851227831799,3.1535810996047298e-06,0.00014044000961035974,-3.736211023216916e-05
29.3,0.0008249205643536238,1.792517192452611e-05,0.0008247138985256157,2.8209052809943624e-05,5.5007936734180066e-08,9.397386655183952e-07,1.5569381927419e-09,-2.022153188387879e-07,-0.0006083076845579127,-2.187435010056471e-06,-0.00033842087531202325,4.307295929142852e-05
