time (s),ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
62.03,0.022490609289156024,-0.00013318676408632577,0.022482599954171602,3.201002352928829e-05,2.8097351190866917e-06,2.561404580778029e-05,1.1686554868201663e-07,-1.8262494711098949e-06,-0.012441808522246967,-4.822305458410114e-06,-0.0030780446491548985,-0.00056935777282658
62.04,0.022488808007412157,-0.00021193485985958102,0.02248291918613524,3.179655955887973e-05,2.931113225777782e-06,8.281282032007829e-07,7.480449316987785e-08,-5.564369487104535e-06,-0.003336227136262304,-3.786041146486285e-05,-0.001796737170038143,8.006273283114526e-06
62.050000000000004,0.02248669031306217,-0.00019333551441182481,0.022483235744589762,3.154391941104859e-05,2.8983735845828505e-06,-2.9289277108397916e-06,3.203549842217876e-08,-2.1980666160335957e-06,0.0076402533387051885,-1.4339077506253517e-05,0.0008621136100441518,0.0004543019761561961
62.06,0.022485341748018445,-5.822369714663013e-05,0.022483550883930073,3.153025136718178e-05,2.922615076085022e-06,8.838025147530663e-06,2.4693787978489173e-08,-2.0515488101856503e-07,0.018517317008506673,1.417254359488418e-05,0.0015186717397113192,-7.28367606400819e-05
62.07,0.022485756548842897,0.00014339407049601642,0.02248386741843219,3.183366903985885e-05,3.086445644903785e-06,2.428766617414124e-05,1.8626773107320652e-08,-5.254675265872203e-07,0.0198318237654298,4.901188622982722e-05,0.0017237301674668526,0.00020569531870337845
62.08,0.02248808693672083,0.0003115561325964212,0.022484188951284356,3.2553769967937456e-05,3.438336243200415e-06,4.805021233900326e-05,3.4222206939210686e-08,4.3234420655297365e-06,0.013296711962316049,9.617363167491177e-05,0.002880554149548492,0.0005798335389551417
62.09,0.022491740661102714,0.00040603097195931337,0.022484519921713235,3.369439312233246e-05,4.055476767126438e-06,7.426397323438733e-05,9.632560852908875e-08,6.765349322343702e-06,0.005333854898848911,0.0001284669333831978,0.002216425140612377,-0.0001771769275426987
62.1,0.022495892541125655,0.0004048446592021852,0.022484863188625855,3.49340350629586e-05,4.853854329120235e-06,8.044730281241441e-05,1.4759027314630233e-07,3.312621377995967e-06,-0.006348358575325452,0.00011290532355849592,-0.0007569135138214,-0.0002818293796387093
62.11,0.022499389519195858,0.0002713728131095752,0.022485216802912922,3.563023075968653e-05,5.508893257003076e-06,4.172285787402347e-05,1.7619116556395994e-07,3.1979847843421877e-06,-0.02009398332911802,1.6964799489829763e-05,-0.006095170974698166,0.00015075107071206312
62.120000000000005,0.022500938371896692,2.6461578830330695e-05,0.022485572748319645,3.5428788802775424e-05,5.628830887217906e-06,-1.61452203363187e-05,2.08596720663205e-07,2.135078234946626e-06,-0.027220012373545405,-5.605387015282515e-05,-0.0051871228346647424,-0.0005037842711772232
62.13,0.022499851910937962,-0.00023840864752628298,0.022485923728246465,3.4743146812409597e-05,5.299573287895608e-06,-4.205112023376113e-05,1.953128753930717e-07,-5.134106836913164e-06,-0.024013256842443792,-7.395592045103538e-05,-0.0006287536393971005,-0.0006873558671966528
62.14,0.022496455855058113,-0.0004169797431129361,0.022486267794773265,3.410519006930159e-05,4.915039476272764e-06,-3.028640891741222e-05,1.240573916285164e-07,-7.531322397984475e-06,-0.009686468883978727,-5.328825651866598e-05,0.0021347467533602837,0.0002158227552079544
62.15,0.022492159277163363,-0.0004058565202123322,0.022486605853552766,3.346811847037021e-05,4.653273828611301e-06,-2.7914963790872916e-05,6.493458706030762e-08,-4.3117692628266004e-06,0.011990818621783833,-7.45539931426148e-05,-0.0013037425098720024,0.00022005009582844442
62.160000000000004,0.02248899640836881,-0.00020264878893031917,0.022486936579914067,3.267603972899496e-05,4.2947163066588944e-06,-4.3532790462837603e-05,2.5896262632801778e-08,-3.889494604312068e-06,0.026270106460401843,-7.6936973315192e-05,-0.001169520988116013,1.4755712143493024e-05
62.17,0.022488332099444067,6.921803433584791e-05,0.02248726023051576,3.214078631654294e-05,3.853476315366577e-06,-3.897226470701201e-05,-2.9778106672584744e-09,-7.814728581061446e-07,0.026105140866217236,-2.4410646233138933e-05,0.0022119456035288865,0.0006323015564730582
62.18,0.022490208474937788,0.00029113656588755654,0.02248758106947063,3.208730019570512e-05,3.5637307714654948e-06,-1.951950726396224e-05,2.2832030804337572e-08,5.548597484898997e-06,0.01719420650717421,1.2621561265510617e-05,0.0018690400917850403,0.0003974529535487679
62.190000000000005,0.02249376634752397,0.0003977504053303521,0.022487903500988282,3.249072383402856e-05,3.5014834035337213e-06,1.0050320154642548e-05,8.346049286311279e-08,5.27431793244556e-06,0.003581765942214765,6.703099967730886e-05,0.0036173151480744514,-0.0003432966770936345
62.2,0.02249767771576345,0.00036166741102703503,0.022488232731466544,3.344153013073416e-05,3.8145468802085152e-06,5.365237603958686e-05,1.2068147965095087e-07,2.7474484672184124e-06,-0.010073578276201534,0.00011647775183279419,0.004285000487916468,-2.4213765592345955e-05
62.21,0.022500653582905688,0.0002238088493568922,0.022488573123493925,3.462128343310199e-05,4.510397479749314e-06,7.919158654147084e-05,1.5254071579871664e-07,3.7570990844459477e-06,-0.01582899445326691,0.0001072412924806726,0.0005381064360051036,3.784112908036645e-05
62.22,0.022502110365796996,7.022664363986466e-05,0.022488923869297545,3.5425471919336285e-05,5.253422623105616e-06,6.264517298308331e-05,1.8163849503632903e-07,1.045366879352027e-06,-0.01435425546386776,4.937637497512415e-05,-0.0034813287970952844,-0.0005314580177202986
62.230000000000004,0.022502132258994542,-6.213431525886582e-05,0.02248927942592386,3.558630373359507e-05,5.68692821852224e-06,2.3175592379927955e-05,1.6737524825398047e-07,-3.219832261248826e-06,-0.012070598886311679,-1.3280893393738391e-05,-0.004014703365009531,-0.0001466331571473101
62.24,0.022500971532075975,-0.0001615410089157498,0.02248963394637438,3.5254519053734426e-05,5.733502162393991e-06,-1.1739205759330842e-05,1.3821357249996364e-07,-1.9402183282530617e-06,-0.006927196341281139,-4.761909922719465e-05,-0.0027665299000697585,0.0002284601330946063
62.25,0.022499155411254714,-0.00018629152042455964,0.02248998372842082,3.468544304094423e-05,5.506241065861225e-06,-3.072394164285621e-05,1.232545910847138e-07,-1.9209657607950186e-06,0.0021519112196830836,-5.8672928574241e-05,-0.0009728204025279685,-0.0002501241764432602
62.26,0.02249752417329759,-0.00012988041935395623,0.022490327608899446,3.4098367919903526e-05,5.162102778055887e-06,-3.661618141043009e-05,9.112545778967245e-08,-4.049051903152349e-06,0.008161130049566256,-5.481883557123535e-05,-8.893137593796174e-05,1.8426605608941674e-05
62.27,0.02249667424587417,-3.6848365778435024e-05,0.022490666171490318,3.365119127012675e-05,4.811575811916949e-06,-3.1478039917917176e-05,6.30372387124096e-08,-6.831561736543292e-07,0.01020061223650745,-3.238937827652888e-05,0.0011020091205480587,0.0005088805879794474
62.28,0.02249684292370135,7.288213054351396e-05,0.0224910016973244,3.3521297271925805e-05,4.5801374539343305e-06,-1.2500100801684466e-05,7.526121243268676e-08,2.157409509474396e-06,0.01147862509018957,7.448319570058093e-06,0.0024778577448802686,-3.918786455853543e-05
62.29,0.02249812115533597,0.0001778119958973141,0.02249133799740305,3.3805505484791224e-05,4.5877960272114055e-06,1.4349378160126136e-05,8.873924354815207e-08,4.405393453073357e-07,0.008519058938341845,4.763992154184493e-05,0.0026707497332713326,-9.471222319315954e-05
62.300000000000004,0.022500241762847366,0.00023981884160522246,0.022491679958444793,3.4740497581031854e-05,4.954536557395186e-06,6.532768327560253e-05,9.828690468520842e-08,2.356319288599442e-06,0.004746637899697537,0.00013862640723581732,0.006455108390772457,0.00040067592423440566
62.31,0.022502887106005492,0.0002917559619494675,0.022492035274301183,3.640149855364902e-05,5.900074561449321e-06,0.0001193892740074981,1.383884582150584e-07,4.913210445539258e-06,0.006090116147253827,0.00018522737635406905,0.003901200618973505,-1.9148765600040044e-05
62.32,0.02250610453390213,0.0003474138080936186,0.02249240800498313,3.806549785974951e-05,7.1532551657635465e-06,0.00011967382485251563,1.792444600065172e-07,2.9388942335492014e-06,0.003388745195657128,0.0001392794735517594,-0.0029956812608696315,-0.00019542578539953961
62.33,0.022509591616456572,0.000332703604936788,0.022492794723860676,3.919061271460602e-05,8.166682014020947e-06,8.14486753315984e-05,2.070512666607753e-07,3.425755692647194e-06,-0.006780377236905721,8.708312183434985e-05,-0.0039844957669163406,0.0002460279339538841
62.34,0.022512426380916474,0.0002213914616307721,0.022493190338553033,3.987397895235868e-05,8.803726589152641e-06,4.855531706799352e-05,2.5019692482310783e-07,4.390835269506574e-06,-0.014452997772220921,5.1965868288442185e-05,-0.0024786963309849086,-0.0002160426753877072
62.35,0.022513853154259314,5.840098478855546e-05,0.022493590724790586,4.010403028447425e-05,9.139020228832349e-06,1.66031159337884e-05,2.727955319380005e-07,-5.103997209072392e-07,-0.01781909735112011,-6.897582606149588e-06,-0.003628307685450499,-0.000574769174677409
62.36,0.022513525294539264,-0.00012362721124950602,0.022493990627985617,3.980586179739397e-05,9.141282238814728e-06,-1.438564294667995e-05,2.4770826093552124e-07,-3.4392062992637636e-06,-0.017481895018743587,-4.986092720019042e-05,-0.0025776964469256813,2.9921681223043714e-05
62.370000000000005,0.0225115143553344,-0.00026603355083575336,0.02249438502250712,3.8965008914697584e-05,8.832256839086594e-06,-5.00071444902916e-05,2.18601862458909e-07,-2.492389193235507e-06,-0.010031735897497729,-0.00011841980853373457,-0.004122339512097395,-2.7249014024042367e-05
62.38,0.02250851960100174,-0.0003165642759708459,0.022494768250880873,3.7628762716817404e-05,8.144623374104e-06,-8.49087399047265e-05,1.8409797774964492e-07,-4.99528275062508e-06,-0.0003390654223706102,-0.00014604333408112236,-0.0025774065780539424,-0.00034649664452745914
62.39,0.022505444634606207,-0.000290576792764876,0.022495136462931588,3.594036886799231e-05,7.1317085159019185e-06,-0.00011936830481306829,1.2449124894640558e-07,-5.8661765265314586e-06,0.004441277769868773,-0.00018819597883072692,-0.0036096401948184365,0.0002559423567969248
62.4,0.02250277711349783,-0.00024255499610562796,0.022495485704855454,3.385072882412163e-05,5.745492597058707e-06,-0.00015735606736709589,8.480034792493465e-08,-1.9802802504358426e-06,0.0047065584606675315,-0.0002230652744041467,-0.003327891559428142,0.0003030127093768876
62.410000000000004,0.02250059477870443,-0.00019109811385051368,0.022495814576559667,3.2101696580373044e-05,4.201828732928904e-06,-0.00013480502093010562,6.87711941033844e-08,-2.3032671374080104e-06,0.0063754372339411,-0.00011837872206779676,0.0065396995949287,-0.00030156398338044817
62.42,0.022499072711999676,-0.00010570684768445126,0.022496131615592663,3.148623748185299e-05,3.2389836199171383e-06,-5.519369578536907e-05,3.3370124655341186e-08,-3.966421870972609e-06,0.010908991308752392,-1.1028849365934956e-05,0.008151527166385009,0.00015678498685522263
62.43,0.022498626618234267,2.0967099928345662e-05,0.022496446078208117,3.1390909086745345e-05,2.946588354692701e-06,-1.6922071970583913e-05,1.2997668729529536e-08,6.079907813332273e-07,0.013540163265164218,-1.9024256535896122e-05,3.9227094025151565e-05,0.0005596982184845495
62.440000000000005,0.022499479691884507,0.0001432663056277281,0.022496758698781927,3.11007283699947e-05,2.7303628508934845e-06,-2.95671513861129e-05,3.769693900018443e-08,3.1343882656888132e-06,0.00960672571013843,-3.78560315613119e-05,-0.0019139599898628235,-0.0001204673144887731
62.45,0.02250123257781517,0.00018941331562043594,0.022497068121324536,3.082573373343319e-05,2.3962822342084696e-06,-3.188582331298775e-05,5.715385525153617e-08,7.009915249963497e-07,-0.000983411491365771,-1.3889200254135758e-05,0.0012412164726584574,-0.000160189328380805
62.46,0.022502902956307805,0.00012991125094441092,0.02249737621618366,3.083900770927912e-05,2.1725042245863616e-06,-1.0990979558215722e-05,6.470307231424741e-08,1.4867567430936943e-06,-0.00968507163503135,1.305682760878446e-05,0.0023677266406338937,0.00021083791968007836
62.47,0.022503677014939317,2.361009434622512e-05,0.022497685109661714,3.090834130454154e-05,2.13547388268872e-06,-1.2456311085231487e-06,8.414112379792553e-08,1.4873332431760464e-06,-0.010576212070777274,-5.082979940049248e-06,-0.0004847089849423225,-0.0003034279688938629
62.480000000000004,0.022503426236614124,-6.798032245211973e-05,0.022497994105487293,3.0911415760756913e-05,2.138382227414166e-06,4.6384829482562666e-06,7.808492550528552e-08,-2.772738615559713e-06,-0.007187914114371696,6.738163007627418e-06,0.0011912198324939283,-0.00034006915461298314
62.49,0.022502506800262067,-0.00010009735277190876,0.022498304855560786,3.137748898800259e-05,2.3592926950067317e-06,4.786845746597662e-05,4.49801119645527e-08,-2.6799406600068873e-06,0.0023511698295727856,8.816314100612566e-05,0.006179351831939017,0.0003238855109024476
62.5,0.022501859276070492,-7.852592695853793e-06,0.02249862298928966,3.222191832857213e-05,3.0198189791552355e-06,7.295632015860323e-05,3.594008414893886e-08,6.351388346588328e-07,0.015326737304894422,7.313163904398845e-05,-0.0006371572293153438,0.0001977503601229007
62.51,0.02250264688662339,0.00016931157830447316,0.022498948235803153,3.2769827743767576e-05,3.647527990983337e-06,4.816148265578234e-05,4.641193927383205e-08,1.1388616979789773e-06,0.017598235448905014,3.946144962621578e-05,-0.003286050532962409,2.2668411701624825e-05
62.52,0.022505099052327476,0.0003067797577450508,0.022499278433969722,3.334194633223919e-05,4.0541130641591065e-06,4.185800636233072e-05,6.459808078994746e-08,3.1041941459824643e-06,0.009201147801432469,8.215559323812571e-05,0.0018530669058025862,0.00035552735856074274
62.53,0.022508452108985232,0.0003449481289053917,0.022499615468415193,3.4002576547440965e-05,4.476716591365865e-06,3.5383926723995635e-05,1.1158999900224766e-07,5.7291057498885896e-06,-0.0021091411236463242,4.5810996207040766e-05,-0.0025029986473899812,2.4702717001970527e-05
62.54,0.022511576514542473,0.0002575939767562796,0.02249995693320657,3.4207815491070084e-05,4.679760686047331e-06,3.6780745741579114e-06,1.5972411126440802e-07,3.0523495228497844e-06,-0.015462285187497815,-5.287839590209509e-06,-0.0034211151460861178,-0.0004576057808387251
62.550000000000004,0.022513171912331698,4.280744331942113e-05,0.022500297697280295,3.3832222411115415e-05,4.524589559249905e-06,-3.606811365925386e-05,1.694826405870532e-07,-6.585196527289006e-07,-0.026503901645035743,-7.182668268602976e-05,-0.004264006247737928,-0.0002186943550957646
62.56,0.022512195789405092,-0.0002416544813858959,0.022500630899179898,3.26537427512185e-05,3.913719167327152e-06,-8.879910187373345e-05,1.5416826776595135e-07,-2.483312093000287e-06,-0.028621541372748915,-0.00016380875866474354,-0.005878299204709725,-0.00026788720343780877
62.57,0.022508454339136248,-0.0004912576879324217,0.02250094863518689,3.0849660937970534e-05,2.8099451681940433e-06,-0.0001250580993484183,1.0963270426002827e-07,-6.912485372290435e-06,-0.019471403856428482,-0.0001907160831426391,-0.0017648731911513726,-0.0005333716184320681
