time (s),ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
5.65,-0.0005933916063240559,0.007212383353432204,-0.0008495204529401912,0.0002904204940914663,8.702217944112684e-05,0.0026986506950996765,3.656961474992448e-06,9.832542349070159e-05,-0.3168030192320157,0.023990465474822035,-0.09409282699381526,-0.00752941416228084
5.655,-0.00056160508483023,0.005439442229423753,-0.0008477315457373195,0.00043161655402131245,9.914822665550404e-05,0.002119820842286238,4.053984513990386e-06,6.084937278359182e-05,-0.392008127405081,0.03165805232281673,-0.1323727760973015,-0.007109534176453103
5.66,-0.0005396083952329335,0.003301038710793094,-0.0008451773702167904,0.0005867270809946291,0.00010800360982614526,0.0014116305816335329,4.275741769416276e-06,2.9195834018279983e-05,-0.4615411028920506,0.027499483190784203,-0.14519845819273214,-0.005535769367359861
5.665,-0.0005291132932411486,0.0008551346659221532,-0.0008419838741648762,0.0006708807770567995,0.00011328501885832274,0.000713305365684028,4.357144450594136e-06,3.9710245054117444e-06,-0.5113586611813195,0.0038622648734590098,-0.13058737429936898,-0.004828178245630088
5.67,-0.0005313202779160532,-0.001743300289588007,-0.0008387222897878167,0.0006091273426881416,0.00011533073920344704,0.00012577411599745962,4.314046808654907e-06,-2.206264705827552e-05,-0.5176764574293886,-0.025497381248254222,-0.10580469382824767,-0.005832414021092136
5.675,-0.0005463413274263572,-0.00421855173737407,-0.0008360521871191725,0.00045437169892618046,0.00011471119713238388,-0.000362453230475065,4.123767599984711e-06,-5.542598725016127e-05,-0.462372537432491,-0.03143484339952811,-0.0920566209167523,-0.007446869835833897
5.68,-0.0005728408716982285,-0.006301037748211133,-0.0008341438620097259,0.0003160932924762302,0.00011172965321182714,-0.0008325057274712616,3.750341744254444e-06,-9.414303208407979e-05,-0.36645698572830204,-0.023148603312139034,-0.09465122743379493,-0.00766192727198764
5.6850000000000005,-0.00060847092717446,-0.007857603053046319,-0.0008328183998527295,0.00022063844625309022,0.00010638939037294042,-0.001299974863391144,3.1908404822131606e-06,-0.00012773627169318914,-0.25449583825668015,-0.01539505334089074,-0.09019730610168528,-0.005362373154744651
5.69,-0.000650452059474591,-0.008836597614339853,-0.0008318846267219914,0.00015696726970870504,9.87865619666708e-05,-0.001733502224920199,2.501012823077545e-06,-0.0001448120022519497,-0.13659624681802807,-0.01046369570276878,-0.08101905773443684,-0.0013361397673015002
5.695,-0.0006958467243930128,-0.009222771287199854,-0.0008312163132636485,0.00011278731738057962,8.914476418925175e-05,-0.0021128701867168726,1.7769383481542829e-06,-0.00014174492926710173,-0.018267507873984564,-0.007494081483228541,-0.06860496778954012,0.002320328092657739
